Team,Off_S&P_Plus,Off_S&P_Plus_Rk,Success_Rt_Plus,Success_Rt_Plus_Rk,IsoPPP_Plus,IsoPPP_Plus_Rk,Rushing_S&P_Plus,Rushing_S&P_Plus_Rk,Passing_S&P_Plus,Passing_S&P_Plus_Rk,SD_S&P_Plus,SD_S&P_Plus_Rk,PD_S&P_Plus,PD_S&P_Plus_Rk
Oklahoma,54.0,1,130.1,2,123.3,1,125.8,1,129.7,2,124.3,1,128.7,2
Alabama,50.9,2,136.2,1,117.6,3,123.2,2,132.4,1,122.9,2,139.7,1
Georgia,45.9,3,122.6,4,109.6,15,116.4,10,120.0,4,114.0,4,123.1,4
Ohio State,44.4,4,121.4,6,102.4,45,101.3,54,120.0,5,109.8,11,120.9,5
Clemson,43.0,5,119.6,8,109.5,16,117.9,8,112.7,13,112.1,7,125.0,3
Ole Miss,42.1,6,114.2,14,113.7,8,111.6,15,112.7,14,113.5,5,112.8,18
Oklahoma State,42.0,7,106.6,36,105.4,30,108.3,27,103.5,47,104.3,40,107.0,34
Missouri,41.3,8,113.0,17,102.7,41,108.4,26,110.0,18,107.3,23,108.9,29
West Virginia,41.1,9,108.0,30,116.8,4,106.0,37,111.5,15,108.4,17,118.1,8
Texas A&M,40.3,10,114.8,13,101.5,53,111.5,16,107.4,29,106.0,29,115.6,11
Central Florida,39.9,11,111.1,20,105.8,29,107.3,32,113.0,12,105.1,35,116.0,10
Wisconsin,39.3,12,121.5,5,95.6,93,123.1,3,98.1,80,112.2,6,102.7,50
Washington State,38.8,13,114.9,12,100.6,58,101.9,51,106.1,35,106.9,24,111.1,22
Memphis,38.8,14,108.8,25,109.3,17,119.5,5,99.4,76,109.1,14,105.9,37
Florida,38.6,15,111.1,21,103.3,35,110.3,20,107.2,31,106.6,25,106.1,36
Ohio,38.2,16,124.8,3,106.7,24,122.1,4,113.1,11,117.6,3,110.0,26
Purdue,37.2,17,107.6,32,114.5,7,106.2,36,108.3,24,109.9,10,107.8,30
Boise State,37.1,18,119.6,9,98.0,81,112.1,14,108.2,26,108.3,18,114.3,13
Auburn,36.9,19,102.3,57,102.4,46,97.4,76,106.1,34,100.0,66,109.8,27
Houston,36.7,20,102.6,55,116.1,5,108.6,24,107.3,30,105.7,31,113.4,15
South Carolina,36.4,21,101.5,61,106.2,28,96.3,87,108.8,22,97.9,81,115.5,12
Utah State,36.3,22,113.3,16,110.3,12,109.8,21,109.1,20,109.4,12,119.1,7
Texas Tech,36.2,23,107.5,33,93.5,100,94.0,99,102.4,59,101.5,53,105.0,39
Vanderbilt,35.6,24,103.1,54,109.7,14,108.9,23,102.6,55,103.7,42,112.7,19
Michigan,35.5,25,113.7,15,100.3,61,105.8,38,113.7,9,109.2,13,102.2,52
Stanford,35.4,26,106.6,37,112.5,9,91.5,107,115.5,8,107.4,22,113.2,16
Texas,35.3,27,105.3,44,92.0,111,94.2,98,104.0,43,99.5,68,99.0,75
Toledo,35.2,28,109.1,24,108.5,19,115.2,12,103.5,45,111.0,8,100.1,68
NC State,35.1,29,117.9,10,93.0,103,98.4,66,111.1,17,103.9,41,110.8,24
LSU,34.8,30,102.6,56,96.1,91,96.9,81,103.5,46,102.0,50,90.9,107
Oregon,34.7,31,99.9,72,102.7,42,99.5,63,103.6,44,96.5,90,113.0,17
Mississippi State,34.6,32,111.6,18,95.8,92,119.1,6,95.3,93,104.9,37,101.8,54
Notre Dame,34.6,33,104.7,46,103.1,37,98.0,72,108.6,23,103.7,43,103.2,47
Washington,34.5,34,110.8,23,97.4,84,106.4,34,107.8,27,105.6,34,104.4,42
Arizona State,33.9,35,108.4,28,102.3,47,110.6,19,103.0,50,105.9,30,101.5,57
Penn State,33.9,36,107.1,34,103.3,36,111.2,17,101.9,64,107.7,20,100.0,69
Fresno State,33.5,37,111.3,19,99.2,70,96.3,85,111.3,16,103.5,44,111.1,23
Tennessee,33.4,38,92.2,104,110.6,11,93.4,101,104.7,38,97.3,87,104.5,41
Baylor,33.1,39,103.7,53,96.6,89,106.6,33,97.2,85,101.2,55,99.2,73
Georgia Tech,33.0,40,119.7,7,87.7,120,108.4,25,119.2,6,107.6,21,99.1,74
Virginia Tech,32.8,41,106.5,39,101.6,50,101.0,55,108.2,25,105.6,33,106.3,35
Nebraska,32.7,42,115.2,11,99.5,68,118.0,7,102.1,63,108.9,15,109.2,28
Arizona,32.3,43,94.3,93,108.4,21,96.4,83,103.1,49,99.7,67,100.6,63
Syracuse,32.1,44,104.0,51,97.8,82,103.0,49,102.6,56,99.1,72,107.6,33
Utah,31.9,45,108.7,27,97.1,86,107.4,31,102.5,57,104.7,38,103.1,48
USC,31.7,46,99.0,74,104.2,33,97.3,78,102.3,60,101.0,58,101.1,59
Buffalo,31.3,47,106.5,38,109.9,13,103.3,46,113.5,10,102.6,48,120.7,6
Wake Forest,31.2,48,101.0,62,89.5,116,97.5,75,95.6,90,97.2,88,92.4,101
Florida Atlantic,30.8,49,105.4,43,106.6,26,107.4,30,105.4,36,108.9,16,100.5,64
UCLA,30.7,50,105.5,42,101.2,56,107.8,28,101.4,68,105.0,36,100.4,65
UNLV,30.7,51,100.0,71,98.4,76,114.8,13,86.9,121,101.9,52,92.7,99
Duke,30.5,52,101.7,59,100.5,59,98.5,64,102.2,62,103.3,46,94.5,92
UL-Lafayette,30.5,53,104.6,48,112.2,10,109.6,22,107.7,28,106.1,28,110.5,25
Iowa,30.3,54,95.2,88,99.7,66,86.4,122,104.6,39,93.5,103,102.5,51
Indiana,30.2,55,108.8,26,91.6,112,101.6,53,99.7,75,100.3,63,103.6,45
Appalachian State,30.0,56,98.9,75,104.4,32,100.9,56,103.0,51,98.6,74,111.2,21
Arkansas State,29.9,57,104.5,49,93.9,97,99.9,62,99.0,77,101.9,51,95.5,88
North Carolina,29.9,58,98.4,77,104.5,31,106.3,35,95.9,89,100.8,59,101.7,56
Iowa State,29.9,59,98.4,76,106.4,27,93.3,102,109.1,21,101.1,56,101.4,58
Western Michigan,29.8,60,105.1,45,97.7,83,97.6,73,107.0,32,104.5,39,91.9,105
Arkansas,29.7,61,89.9,112,92.8,107,96.4,84,88.4,117,90.0,121,94.1,93
Virginia,29.7,62,100.5,67,93.3,102,92.8,104,101.4,67,103.1,47,80.9,126
Hawaii,29.5,63,104.0,50,106.8,23,95.5,91,104.4,40,106.1,27,104.3,43
Kentucky,29.5,64,100.6,66,93.8,98,101.7,52,94.7,94,98.8,73,95.0,91
Army,29.4,65,102.0,58,83.0,128,97.3,77,125.8,3,94.8,97,90.5,110
Miami-FL,29.3,66,90.7,110,104.0,34,103.8,45,89.2,115,93.9,101,100.2,66
North Texas,29.2,67,107.0,35,102.5,44,105.3,39,102.2,61,106.3,26,100.2,67
Air Force,29.2,68,111.0,22,89.3,117,105.2,40,115.6,7,100.7,60,107.7,32
South Florida,29.1,69,94.8,91,102.0,49,100.2,59,94.6,95,97.9,79,99.8,70
Illinois,29.1,70,105.7,41,102.9,38,117.4,9,92.8,100,107.8,19,97.4,81
Pittsburgh,29.0,71,100.7,64,106.7,25,115.4,11,92.1,103,103.5,45,101.9,53
BYU,28.9,72,108.3,29,94.2,95,104.9,41,100.3,72,105.6,32,96.6,85
Oregon State,28.8,73,100.2,69,101.6,52,102.5,50,97.8,81,102.5,49,96.6,84
Cincinnati,28.3,74,100.1,70,93.5,101,100.1,60,95.3,92,94.2,99,102.7,49
Minnesota,28.2,75,100.6,65,98.4,78,97.6,74,104.1,41,99.4,69,101.7,55
Temple,28.1,76,104.7,47,100.1,63,96.5,82,106.1,33,100.2,64,111.4,20
Coastal Carolina,28.1,77,103.8,52,90.3,114,103.1,48,95.4,91,94.2,100,107.8,31
Georgia Southern,27.9,78,96.8,83,99.0,72,100.9,57,104.8,37,97.7,82,97.2,82
Massachusetts,27.8,79,94.0,96,102.5,43,88.6,115,102.5,58,99.3,70,93.7,94
Maryland,27.6,80,92.3,103,120.8,2,110.9,18,99.9,74,101.0,57,113.8,14
Colorado State,27.6,81,96.6,84,99.1,71,82.5,127,100.0,73,98.4,76,93.7,95
Navy,27.5,82,94.3,94,88.9,119,98.2,68,103.2,48,97.9,80,80.3,127
Nevada,27.5,83,93.5,98,100.2,62,95.6,90,94.0,97,95.6,94,99.4,71
Kansas State,27.2,84,97.2,79,90.2,115,100.6,58,90.9,108,91.1,116,99.4,72
Colorado,27.0,85,87.6,115,108.1,22,90.6,109,97.3,82,92.5,108,104.2,44
Florida International,26.7,86,96.9,82,99.9,64,94.9,93,100.5,70,97.6,85,98.0,79
UL-Monroe,26.5,87,107.8,31,102.7,40,107.7,29,102.7,54,110.0,9,93.1,98
Boston College,26.5,88,91.7,106,99.5,69,90.2,110,104.1,42,96.4,91,93.4,97
Troy,26.4,89,91.6,107,108.5,20,93.7,100,101.4,66,101.2,54,105.3,38
Miami-OH,26.2,90,96.0,86,101.6,51,97.1,80,97.3,83,100.6,62,90.2,111
TCU,25.7,91,93.3,100,92.5,109,96.3,86,92.3,101,95.0,96,96.1,86
San Diego State,25.6,92,90.0,111,100.5,60,95.2,92,96.5,86,97.7,83,85.1,123
Eastern Michigan,25.5,93,94.1,95,102.9,39,94.9,94,99.0,78,96.1,93,103.4,46
Northwestern,25.5,94,95.7,87,90.8,113,87.9,118,97.2,84,94.6,98,92.6,100
Wyoming,25.1,95,86.9,116,96.6,88,103.2,47,78.9,127,93.4,104,90.9,106
Liberty,25.1,96,92.4,102,93.6,99,86.9,121,96.3,87,93.0,106,90.7,109
Florida State,25.0,97,85.0,121,115.1,6,88.6,114,102.9,52,98.1,77,98.3,77
Old Dominion,24.9,98,101.6,60,94.0,96,88.1,116,100.5,71,98.6,75,100.8,61
Connecticut,24.7,99,95.0,90,92.4,110,98.2,71,88.6,116,98.1,78,83.4,125
Bowling Green,24.7,100,91.4,109,101.4,54,89.8,111,96.3,88,93.6,102,98.8,76
South Alabama,24.5,101,91.5,108,98.7,75,85.7,124,102.8,53,97.6,84,86.4,121
Louisville,24.5,102,94.6,92,97.2,85,104.8,42,88.3,118,99.3,71,89.5,115
Middle Tennessee,24.4,103,100.2,68,102.1,48,97.2,79,101.6,65,100.1,65,104.6,40
UAB,24.1,104,106.2,40,98.2,79,103.9,44,109.3,19,96.6,89,117.2,9
SMU,24.0,105,85.8,119,101.3,55,87.9,117,91.5,106,92.9,107,90.8,108
Tulane,23.8,106,88.0,114,109.0,18,98.2,69,101.1,69,97.5,86,95.7,87
New Mexico,23.8,107,93.3,99,84.3,125,92.8,103,91.9,104,90.0,122,89.8,112
Georgia State,23.6,108,96.9,81,96.2,90,104.2,43,91.0,107,96.2,92,98.2,78
Tulsa,22.9,109,96.0,85,86.4,123,94.8,95,92.2,102,91.4,113,95.1,90
Ball State,22.5,110,100.9,63,86.7,122,94.3,97,93.3,99,91.1,115,101.1,60
Louisiana Tech,22.0,111,98.4,78,93.0,104,98.4,65,93.9,98,95.1,95,100.7,62
Michigan State,22.0,112,88.1,113,92.9,106,88.8,112,89.5,112,90.5,120,86.8,120
Marshall,22.0,113,99.3,73,99.7,67,100.0,61,98.5,79,100.7,61,95.2,89
Kansas,21.9,114,86.8,117,95.3,94,98.4,67,84.1,126,92.0,110,89.7,113
Kent State,20.5,115,82.7,124,98.1,80,88.7,113,87.8,120,88.9,124,92.2,104
New Mexico State,19.2,116,85.4,120,98.4,77,95.9,89,85.5,125,91.1,114,92.4,102
Northern Illinois,19.1,117,97.1,80,84.3,127,98.2,70,85.5,124,92.5,109,93.7,96
California,18.3,118,93.7,97,84.3,126,94.7,96,85.8,123,91.8,112,85.9,122
East Carolina,18.3,119,85.0,122,98.8,74,85.6,125,90.7,109,86.1,125,96.9,83
Western Kentucky,17.9,120,95.0,89,89.1,118,96.1,88,89.5,111,91.8,111,97.7,80
San Jose State,17.3,121,81.0,126,98.9,73,71.6,130,91.8,105,91.0,117,88.1,118
Southern Miss,16.6,122,93.1,101,92.9,105,87.1,120,94.2,96,93.2,105,92.2,103
Rutgers,15.0,123,71.8,130,87.0,121,87.3,119,70.7,130,79.0,130,79.1,128
Rice,15.0,124,75.5,129,100.9,57,79.2,128,90.0,110,85.8,127,87.8,119
Charlotte,15.0,125,91.8,105,86.2,124,92.7,105,88.0,119,91.0,118,84.5,124
Texas State,14.9,126,83.1,123,97.0,87,91.4,108,85.9,122,89.4,123,88.8,117
UTEP,12.1,127,86.2,118,92.6,108,92.3,106,89.3,113,90.5,119,89.7,114
Akron,11.9,128,76.9,127,99.8,65,78.5,129,89.3,114,85.9,126,89.3,116
UTSA,11.1,129,81.6,125,80.0,130,86.1,123,76.7,128,84.4,129,74.1,129
Central Michigan,9.0,130,76.8,128,82.1,129,85.3,126,76.3,129,84.4,128,72.8,130
